age,gender,country,daily_usage_hours,primary_platform,num_platforms_used,purpose,avg_session_minutes,night_usage,mental_health_score,addiction_level,screen_time_before_sleep
25,Female,Brazil,2.721397890798817,YouTube,3,Entertainment,17.687304141551575,1,6.4988364516679225,Medium,57.51120051556222
22,Male,Canada,4.2590082666922005,YouTube,2,Socializing,30.053853265657622,1,4.85213970455221,Medium,30.380069387372643
15,Male,India,1.597300043987102,Instagram,1,Content Creation,14.29510860121143,0,8.513620001001662,Low,43.96864155047918
14,Male,Australia,2.9142413624437307,TikTok,5,Socializing,25.444925048677348,0,7.512457446159894,Medium,47.78331253193055
21,Female,India,2.898775532589185,TikTok,5,News,14.967762135412148,0,9.209528619270538,Medium,59.54350506916749
17,Other,Brazil,0.5,TikTok,1,Education,13.794752641058746,1,10.0,Low,31.969658189400715
18,Male,Germany,3.681725104940763,TikTok,5,Entertainment,12.614597281853474,1,6.533130275411825,Medium,58.43169066221705
18,Female,Germany,2.264034845102826,TikTok,3,Entertainment,14.95872243184516,0,9.34634992770852,Low,56.83631799464022
24,Male,Canada,1.5565008677124403,Instagram,4,Education,16.86692682801089,1,8.74782498722963,Low,45.46537518281865
16,Male,Germany,3.8644258770713975,Snapchat,4,Education,32.61807716543542,1,6.885766643025288,Medium,27.355677928723253
14,Male,India,0.8268874611867378,Instagram,1,Socializing,34.71677770515322,1,8.09325868595749,Low,43.56768904657983
25,Male,India,0.5600756277463192,Instagram,3,Socializing,38.430795990319005,0,9.912354580363514,Low,62.70545868688964
19,Other,USA,3.52281792078149,Instagram,5,Socializing,18.071023103343865,1,6.01549599958296,Medium,84.00916771051594
24,Male,India,3.5740366110795145,YouTube,5,Entertainment,44.41908715975456,1,8.082525226117115,Medium,56.79112798182516
24,Female,USA,2.9978087149648465,YouTube,3,Socializing,30.72730294143736,1,8.782479132302894,Medium,52.220543999055806
13,Female,India,3.3746348563834063,TikTok,5,Entertainment,14.137821468261338,0,8.22334991501716,Medium,14.531710677043908
19,Female,USA,3.2023251700687427,Instagram,4,Entertainment,30.65572476912093,1,7.62802311805896,Medium,75.35443708711844
26,Male,India,2.3357630614090548,TikTok,1,Education,25.01444960168082,0,7.496678338307912,Low,60.05077363807808
